region_code,death_rate_change_per_mil,state
AK,-4.531044636804213,AK
AL,-4.134490466692402,AL
AR,-3.0590056645071524,AR
AZ,3.8935765529426174,AZ
CA,3.7752790032545,CA
CO,8.733873129421818,CO
CT,-56.88089750998428,CT
DC,8.086064203748318,DC
DE,-3.8228992393455314,DE
FL,0.09777516708293454,FL
GA,-2.6343033401688665,GA
HI,0.19337485627418793,HI
IA,-3.0058140306627354,IA
ID,-6.740369675921766,ID
IL,10.986072737853148,IL
IN,3.037026250539723,IN
KS,-1.1252769545596628,KS
KY,-9.824287495379236,KY
LA,17.406482776165547,LA
MA,21.71919931112219,MA
MD,5.432136649084603,MD
ME,7.255443901441023,ME
MI,17.886848346051487,MI
MN,-2.133658809748063,MN
MO,-3.4597875796406097,MO
MS,2.6009448818826453,MS
MT,5.048285132634858,MT
NC,-23.715723307159735,NC
ND,-15.315868750992196,ND
NE,-6.311403039617531,NE
NH,-8.846918193297423,NH
NJ,54.008859644038665,NJ
NM,-10.469324569630087,NM
NV,-0.8385272193655418,NV
NY,76.43112877536443,NY
OH,-12.99708094903421,OH
OK,-17.10468720413226,OK
OR,-1.398865536890618,OR
PA,-30.50546787685005,PA
RI,-3.377418872792248,RI
SC,4.637364275343106,SC
SD,-6.615373008143653,SD
TN,-3.105385206447778,TN
TX,-1.6455914150396573,TX
UT,-1.197679153067864,UT
VA,1.0251448095542948,VA
VT,6.826999827059055,VT
WA,4.742304170543127,WA
WI,1.3656688935254966,WI
WV,-12.19989419032309,WV
WY,2.4226924178760854,WY
